word1,word2,SimLex999,POS
old,new,1.58,A
smart,intelligent,9.2,A
hard,difficult,8.77,A
happy,cheerful,9.55,A
hard,easy,0.95,A
fast,rapid,8.75,A
happy,glad,9.17,A
short,long,1.23,A
stupid,dumb,9.58,A
weird,strange,8.93,A
wide,narrow,1.03,A
bad,awful,8.42,A
easy,difficult,0.58,A
bad,terrible,7.78,A
hard,simple,1.38,A
smart,dumb,0.55,A
insane,crazy,9.57,A
happy,mad,0.95,A
large,huge,9.47,A
hard,tough,8.05,A
new,fresh,6.83,A
sharp,dull,0.6,A
quick,rapid,9.7,A
dumb,foolish,6.67,A
wonderful,terrific,8.63,A
strange,odd,9.02,A
happy,angry,1.28,A
narrow,broad,1.18,A
simple,easy,9.4,A
old,fresh,0.87,A
apparent,obvious,8.47,A
inexpensive,cheap,8.72,A
nice,generous,5.0,A
weird,normal,0.72,A
weird,odd,9.2,A
bad,immoral,7.62,A
sad,funny,0.95,A
wonderful,great,8.05,A
guilty,ashamed,6.38,A
beautiful,wonderful,6.5,A
confident,sure,8.27,A
dumb,dense,7.27,A
large,big,9.55,A
nice,cruel,0.67,A
impatient,anxious,6.03,A
big,broad,6.73,A
strong,proud,3.17,A
unnecessary,necessary,0.63,A
restless,young,1.6,A
dumb,intelligent,0.75,A
bad,great,0.35,A
difficult,simple,0.87,A
necessary,important,7.37,A
bad,terrific,0.65,A
mad,glad,1.45,A
honest,guilty,1.18,A
easy,tough,0.52,A
easy,flexible,4.1,A
certain,sure,8.42,A
essential,necessary,8.97,A
different,normal,1.08,A
sly,clever,7.25,A
crucial,important,8.82,A
harsh,cruel,8.18,A
childish,foolish,5.5,A
scarce,rare,9.17,A
friendly,generous,5.9,A
fragile,frigid,2.38,A
long,narrow,3.57,A
big,heavy,6.18,A
rough,frigid,2.47,A
bizarre,strange,9.37,A
illegal,immoral,4.28,A
bad,guilty,4.2,A
modern,ancient,0.73,A
new,ancient,0.23,A
dull,funny,0.55,A
happy,young,2.0,A
easy,big,1.12,A
great,awful,1.17,A
tiny,huge,0.6,A
polite,proper,7.63,A
modest,ashamed,2.65,A
exotic,rare,8.05,A
dumb,clever,1.17,A
delightful,wonderful,8.65,A
noticeable,obvious,8.48,A
afraid,anxious,5.07,A
formal,proper,8.02,A
dreary,dull,8.25,A
delightful,cheerful,6.58,A
unhappy,mad,5.95,A
sad,terrible,5.4,A
sick,crazy,3.57,A
violent,angry,6.98,A
laden,heavy,5.9,A
dirty,cheap,1.6,A
elastic,flexible,7.78,A
hard,dense,5.9,A
recent,new,7.05,A
bold,proud,3.97,A
sly,strange,1.97,A
strange,sly,2.07,A
dumb,rare,0.48,A
sly,tough,0.58,A
terrific,mad,0.4,A
modest,flexible,0.98,A
fresh,wide,0.4,A
huge,dumb,0.48,A
large,flexible,0.48,A
dirty,narrow,0.3,A
wife,husband,2.3,N
book,text,6.35,N
groom,bride,3.17,N
night,day,1.88,N
south,north,2.2,N
plane,airport,3.65,N
uncle,aunt,5.5,N
horse,mare,8.33,N
bottom,top,0.7,N
friend,buddy,8.78,N
student,pupil,9.35,N
world,globe,6.67,N
leg,arm,2.88,N
plane,jet,8.1,N
woman,man,3.33,N
horse,colt,7.07,N
actress,actor,7.12,N
teacher,instructor,9.25,N
movie,film,8.87,N
bird,hawk,7.85,N
word,dictionary,3.68,N
money,salary,7.88,N
dog,cat,1.75,N
area,region,9.47,N
navy,army,6.43,N
book,literature,7.53,N
clothes,closet,3.27,N
sunset,sunrise,2.47,N
child,adult,2.98,N
cow,cattle,9.52,N
book,story,5.63,N
winter,summer,2.38,N
taxi,cab,9.2,N
tree,maple,5.53,N
bed,bedroom,3.4,N
roof,ceiling,7.58,N
disease,infection,7.15,N
arm,shoulder,4.85,N
sheep,lamb,8.42,N
lady,gentleman,3.42,N
boat,anchor,2.25,N
priest,monk,6.28,N
toe,finger,4.68,N
river,stream,7.3,N
anger,fury,8.73,N
date,calendar,4.42,N
sea,ocean,8.27,N
second,minute,4.62,N
hand,thumb,3.88,N
wood,log,7.3,N
mud,dirt,7.32,N
hallway,corridor,9.28,N
way,manner,7.62,N
mouse,cat,1.12,N
cop,sheriff,9.05,N
death,burial,4.93,N
music,melody,6.98,N
beer,alcohol,7.5,N
mouth,lip,7.1,N
storm,hurricane,6.38,N
tax,income,2.38,N
flower,violet,6.95,N
paper,cardboard,5.38,N
floor,ceiling,1.73,N
beach,seashore,8.33,N
rod,curtain,3.03,N
hound,fox,2.38,N
street,alley,5.48,N
boat,deck,4.28,N
car,horn,2.57,N
friend,guest,4.25,N
employer,employee,3.65,N
hand,wrist,3.97,N
ball,cannon,2.58,N
alcohol,brandy,6.98,N
victory,triumph,8.98,N
telephone,booth,3.63,N
door,doorway,5.4,N
motel,inn,8.17,N
clothes,cloth,5.47,N
steak,meat,7.47,N
nail,thumb,3.55,N
band,orchestra,7.08,N
book,bible,5.0,N
business,industry,7.02,N
winter,season,6.27,N
decade,century,3.48,N
alcohol,gin,8.65,N
hat,coat,2.67,N
window,door,3.33,N
arm,wrist,3.57,N
house,apartment,5.8,N
glass,crystal,6.27,N
wine,brandy,5.15,N
creator,maker,9.62,N
dinner,breakfast,3.33,N
arm,muscle,3.72,N
bubble,suds,8.57,N
bread,flour,3.33,N
death,tragedy,5.8,N
absence,presence,0.4,N
gun,cannon,5.68,N
grass,blade,4.57,N
ball,basket,1.67,N
hose,garden,1.67,N
boy,kid,7.5,N
church,choir,2.95,N
clothes,drawer,3.02,N
tower,bell,1.9,N
father,parent,7.07,N
school,grade,4.42,N
parent,adult,5.37,N
bar,jail,1.9,N
car,highway,3.4,N
dictionary,definition,6.25,N
door,cellar,1.97,N
army,legion,5.95,N
metal,aluminum,7.25,N
chair,bench,6.67,N
cloud,fog,6.0,N
boy,son,6.75,N
water,ice,6.47,N
bed,blanket,3.02,N
attorney,lawyer,9.35,N
area,zone,8.33,N
business,company,9.02,N
clothes,fabric,5.87,N
sweater,jacket,7.15,N
money,capital,6.67,N
hand,foot,4.17,N
alcohol,cocktail,6.73,N
yard,inch,3.78,N
molecule,atom,6.45,N
lens,camera,4.28,N
meal,dinner,7.15,N
eye,tear,3.55,N
god,devil,1.8,N
loop,belt,3.1,N
rat,mouse,7.78,N
motor,engine,8.65,N
car,cab,7.42,N
cat,lion,6.75,N
size,magnitude,6.33,N
reality,fantasy,1.03,N
door,gate,5.25,N
cat,pet,5.95,N
tin,aluminum,6.42,N
bone,jaw,4.17,N
cereal,wheat,3.75,N
house,key,1.9,N
blood,flesh,4.28,N
door,corridor,3.73,N
god,spirit,7.3,N
capability,competence,7.62,N
abundance,plenty,8.97,N
sofa,chair,6.67,N
wall,brick,4.68,N
horn,drum,2.68,N
organ,liver,6.15,N
strength,might,7.07,N
phrase,word,5.48,N
band,parade,3.92,N
stomach,waist,5.9,N
cloud,storm,5.6,N
joy,pride,5.0,N
noise,rattle,6.17,N
rain,mist,5.97,N
beer,beverage,5.42,N
man,uncle,3.92,N
apple,juice,2.88,N
intelligence,logic,6.5,N
communication,language,7.47,N
mink,fur,6.83,N
mob,crowd,7.85,N
shore,coast,8.83,N
wire,cord,7.62,N
bird,turkey,6.58,N
bed,crib,7.3,N
competence,ability,7.5,N
cloud,haze,7.32,N
supper,meal,7.53,N
bar,cage,2.8,N
water,salt,1.3,N
sense,intuition,7.68,N
situation,condition,6.58,N
crime,theft,7.53,N
style,fashion,8.5,N
boundary,border,9.08,N
arm,body,4.05,N
boat,car,2.37,N
sandwich,lunch,6.3,N
bride,princess,2.8,N
heroine,hero,8.78,N
car,gauge,1.13,N
insect,bee,6.07,N
crib,cradle,8.55,N
animal,person,3.05,N
marijuana,herb,6.5,N
bed,hospital,0.92,N
cheek,tongue,4.52,N
disc,computer,3.2,N
curve,angle,3.33,N
grass,moss,5.0,N
school,law,1.13,N
foot,head,2.3,N
mother,guardian,6.5,N
orthodontist,dentist,8.27,N
alcohol,whiskey,7.27,N
mouth,tooth,6.3,N
breakfast,bacon,4.37,N
bathroom,bedroom,3.4,N
plate,bowl,5.23,N
meat,bacon,5.8,N
air,helium,3.63,N
worker,employer,5.37,N
body,chest,4.45,N
son,father,3.82,N
heart,surgery,1.08,N
woman,secretary,1.98,N
man,father,4.83,N
beach,island,5.6,N
story,topic,5.0,N
game,fun,3.42,N
weekend,week,4.0,N
couple,pair,8.33,N
woman,wife,5.72,N
sheep,cattle,4.77,N
purse,bag,8.33,N
ceiling,cathedral,2.42,N
bean,coffee,5.15,N
wood,paper,2.88,N
top,side,1.9,N
crime,fraud,5.65,N
pain,harm,5.38,N
lover,companion,5.97,N
evening,dusk,7.78,N
father,daughter,2.62,N
wine,liquor,7.85,N
cow,goat,2.93,N
belief,opinion,7.7,N
reality,illusion,1.42,N
pact,agreement,9.02,N
wealth,poverty,1.27,N
accident,emergency,4.93,N
battle,conquest,7.22,N
friend,teacher,2.62,N
illness,infection,6.9,N
game,trick,2.32,N
brother,son,3.48,N
aunt,nephew,3.1,N
worker,mechanic,4.92,N
doctor,orthodontist,5.58,N
oak,maple,6.03,N
bee,queen,3.27,N
car,bicycle,3.47,N
goal,quest,5.83,N
august,month,5.53,N
army,squad,5.08,N
cloud,weather,4.87,N
physician,doctor,8.88,N
canyon,valley,6.75,N
river,valley,1.67,N
sun,sky,2.27,N
target,arrow,3.25,N
chocolate,pie,2.27,N
circumstance,situation,7.85,N
opinion,choice,5.43,N
rhythm,melody,6.12,N
gut,nerve,4.93,N
day,dawn,5.47,N
cattle,beef,7.03,N
doctor,professor,4.65,N
arm,vein,3.65,N
room,bath,3.33,N
corporation,business,9.02,N
fun,football,1.97,N
hill,cliff,4.28,N
bone,ankle,3.82,N
apple,candy,2.08,N
helper,maid,5.58,N
leader,manager,7.27,N
lemon,tea,1.6,N
bee,ant,2.78,N
basketball,baseball,4.92,N
rice,bean,2.72,N
bed,furniture,6.08,N
emotion,passion,7.72,N
anarchy,chaos,7.93,N
crime,violation,7.12,N
machine,engine,5.58,N
beach,sea,4.68,N
alley,bowl,1.53,N
jar,bottle,7.83,N
strength,capability,5.28,N
seed,mustard,3.48,N
guitar,drum,3.78,N
opinion,idea,5.7,N
north,west,3.63,N
diet,salad,2.98,N
mother,wife,3.02,N
dad,mother,3.55,N
captain,sailor,5.0,N
meter,yard,5.6,N
beer,champagne,4.45,N
motor,boat,2.57,N
card,bridge,1.97,N
science,psychology,4.92,N
sinner,saint,1.6,N
destruction,construction,0.98,N
crowd,bunch,7.42,N
beach,reef,3.77,N
man,child,4.13,N
bread,cheese,1.95,N
champion,winner,8.73,N
celebration,ceremony,7.72,N
menu,order,3.62,N
king,princess,3.27,N
wealth,prestige,6.07,N
endurance,strength,6.58,N
danger,threat,8.78,N
god,priest,4.5,N
men,fraternity,3.13,N
buddy,companion,8.65,N
teacher,helper,4.28,N
body,stomach,3.93,N
tongue,throat,3.1,N
house,carpet,1.38,N
intelligence,skill,5.35,N
journey,conquest,4.72,N
god,prey,1.23,N
brother,soul,0.97,N
adversary,opponent,9.05,N
death,catastrophe,4.13,N
monster,demon,6.95,N
day,morning,4.87,N
man,victor,1.9,N
friend,guy,3.88,N
song,story,3.97,N
ray,sunshine,6.83,N
guy,stud,5.83,N
chicken,rice,1.43,N
box,elevator,1.32,N
butter,potato,1.22,N
apartment,furniture,1.28,N
lake,swamp,4.92,N
salad,vinegar,1.13,N
flower,bulb,4.48,N
cloud,mist,6.67,N
driver,pilot,6.28,N
sugar,honey,5.13,N
body,shoulder,2.88,N
idea,image,3.55,N
father,brother,4.2,N
moon,planet,5.87,N
ball,costume,2.32,N
rail,fence,5.22,N
room,bed,2.35,N
flower,bush,4.25,N
bone,knee,4.17,N
arm,knee,2.75,N
bottom,side,2.63,N
vessel,vein,5.15,N
cat,rabbit,2.37,N
meat,sandwich,2.35,N
belief,concept,5.08,N
intelligence,insight,5.9,N
attention,interest,7.22,N
attitude,confidence,4.35,N
right,justice,7.05,N
argument,agreement,1.45,N
depth,magnitude,6.12,N
medium,news,3.65,N
winner,candidate,2.78,N
birthday,date,5.08,N
fee,payment,7.15,N
bible,hymn,5.15,N
exit,doorway,5.5,N
man,sentry,3.25,N
aisle,hall,6.35,N
whiskey,gin,6.28,N
blood,marrow,3.4,N
oil,mink,1.23,N
